Left,Right,Date
Colgate Raiders,Binghamton Bearcats,12/7/2016
Loyola Maryland Greyhounds,Binghamton Bearcats,12/10/2016
Delaware State Hornets,Binghamton Bearcats,12/17/2016
Marywood,Binghamton Bearcats,12/30/2016
UMBC Retrievers,Binghamton Bearcats,1/5/2017
Massachusetts-Lowell River Hawks,Binghamton Bearcats,1/8/2017
Vermont Catamounts,Binghamton Bearcats,1/11/2017
New Hampshire Wildcats,Binghamton Bearcats,1/14/2017
Stony Brook Seawolves,Binghamton Bearcats,1/22/2017
Hartford Hawks,Binghamton Bearcats,1/25/2017
Maine Black Bears,Binghamton Bearcats,1/29/2017
UMBC Retrievers,Binghamton Bearcats,2/1/2017
Massachusetts-Lowell River Hawks,Binghamton Bearcats,2/4/2017
Vermont Catamounts,Binghamton Bearcats,2/6/2017
New Hampshire Wildcats,Binghamton Bearcats,2/12/2017
Stony Brook Seawolves,Binghamton Bearcats,2/18/2017
Hartford Hawks,Binghamton Bearcats,2/22/2017
Maine Black Bears,Binghamton Bearcats,2/25/2017
Stony Brook Seawolves,Binghamton Bearcats,3/1/2017
Northwest (WA),Boise State Broncos,11/12/2016
Charleston Cougars,Boise State Broncos,11/17/2016
Western Michigan Broncos,Boise State Broncos,11/20/2016
Presbyterian Blue Hose,Boise State Broncos,11/25/2016
Evansville Aces,Boise State Broncos,12/3/2016
Loyola Marymount Lions,Boise State Broncos,12/5/2016
Idaho State Bengals,Boise State Broncos,12/18/2016
CSUN Matadors,Boise State Broncos,12/21/2016
Utah State Aggies,Boise State Broncos,12/28/2016
Colorado State Rams,Boise State Broncos,12/31/2016
UNLV Runnin' Rebels,Boise State Broncos,1/4/2017
San Diego State Aztecs,Boise State Broncos,1/7/2017
Fresno State Bulldogs,Boise State Broncos,1/14/2017
New Mexico Lobos,Boise State Broncos,1/17/2017
San Jose State Spartans,Boise State Broncos,1/21/2017
Nevada Wolf Pack,Boise State Broncos,1/25/2017
Wyoming Cowboys,Boise State Broncos,1/28/2017
Colorado State Rams,Boise State Broncos,1/31/2017
Utah State Aggies,Boise State Broncos,2/4/2017
New Mexico Lobos,Boise State Broncos,2/14/2017
Wyoming Cowboys,Boise State Broncos,2/18/2017
Nevada Wolf Pack,Boise State Broncos,2/22/2017
San Jose State Spartans,Boise State Broncos,2/25/2017
Fresno State Bulldogs,Boise State Broncos,2/28/2017
San Diego State Aztecs,Boise State Broncos,3/9/2017
Nicholls Colonels,Boston College Eagles,11/11/2016
Northeastern Huskies,Boston University Terriers,11/11/2016
Northeastern Huskies,Boston University Terriers,11/18/2016
Maine Black Bears,Boston University Terriers,11/19/2016
LIU Brooklyn Blackbirds,Boston University Terriers,11/20/2016
Western New Eng.,Boston University Terriers,11/22/2016
Saint Peter's Peacocks,Boston University Terriers,11/28/2016
Canisius Golden Griffins,Boston University Terriers,12/7/2016
New Hampshire Wildcats,Boston University Terriers,12/18/2016
Massachusetts-Lowell River Hawks,Boston University Terriers,12/21/2016
Holy Cross Crusaders,Boston University Terriers,12/30/2016
Lehigh Mountain Hawks,Boston University Terriers,1/2/2017
Navy Midshipmen,Boston University Terriers,1/5/2017
Lafayette Leopards,Boston University Terriers,1/8/2017
Loyola Maryland Greyhounds,Boston University Terriers,1/16/2017
Colgate Raiders,Boston University Terriers,1/18/2017
Bucknell Bison,Boston University Terriers,1/21/2017
Lehigh Mountain Hawks,Boston University Terriers,1/30/2017
Navy Midshipmen,Boston University Terriers,2/2/2017
Lafayette Leopards,Boston University Terriers,2/5/2017
Loyola Maryland Greyhounds,Boston University Terriers,2/11/2017
Colgate Raiders,Boston University Terriers,2/15/2017
Bucknell Bison,Boston University Terriers,2/19/2017
Holy Cross Crusaders,Boston University Terriers,2/25/2017
Loyola Maryland Greyhounds,Boston University Terriers,3/2/2017
Lehigh Mountain Hawks,Boston University Terriers,3/5/2017
Oakland Golden Grizzlies,Bowling Green Falcons,11/11/2016
South Dakota Coyotes,Bowling Green Falcons,11/13/2016
UMKC Kangaroos,Bowling Green Falcons,11/19/2016
Green Bay Phoenix,Bowling Green Falcons,11/20/2016
Murray State Racers,Bowling Green Falcons,11/21/2016
Morgan State Bears,Bowling Green Falcons,11/26/2016
Notre Dame (OH),Bowling Green Falcons,11/29/2016
Evansville Aces,Bowling Green Falcons,12/6/2016
Detroit Titans,Bowling Green Falcons,12/10/2016
San Jose State Spartans,Bowling Green Falcons,12/18/2016
Norfolk State Spartans,Bowling Green Falcons,12/30/2016
Eastern Michigan Eagles,Bowling Green Falcons,1/10/2017
Northern Illinois Huskies,Bowling Green Falcons,1/14/2017
Toledo Rockets,Bowling Green Falcons,1/17/2017
Central Michigan Chippewas,Bowling Green Falcons,1/24/2017
Ohio Bobcats,Bowling Green Falcons,1/28/2017
Miami (OH) RedHawks,Bowling Green Falcons,1/31/2017
Toledo Rockets,Bowling Green Falcons,2/4/2017
Kent State Golden Flashes,Bowling Green Falcons,2/7/2017
Buffalo Bulls,Bowling Green Falcons,2/11/2017
Western Michigan Broncos,Bowling Green Falcons,2/14/2017
Ohio Bobcats,Bowling Green Falcons,2/18/2017
Miami (OH) RedHawks,Bowling Green Falcons,2/25/2017
Kent State Golden Flashes,Bowling Green Falcons,2/28/2017
Buffalo Bulls,Bowling Green Falcons,3/3/2017
Toledo Rockets,Bowling Green Falcons,3/6/2017
Ill.-Springfield,Bradley Braves,11/11/2016
Delaware Fightin' Blue Hens,Bradley Braves,11/13/2016
Southeast Missouri State Redhawks,Bradley Braves,11/18/2016
Hofstra Pride,Bradley Braves,11/21/2016
Wofford Terriers,Bradley Braves,11/22/2016
George Mason Patriots,Bradley Braves,11/23/2016
Eastern Illinois Panthers,Bradley Braves,11/29/2016
Nevada Wolf Pack,Bradley Braves,12/3/2016
Chicago State Cougars,Bradley Braves,12/10/2016
UT Arlington Mavericks,Bradley Braves,12/16/2016
Southern Illinois Salukis,Bradley Braves,12/29/2016
Wichita State Shockers,Bradley Braves,1/1/2017
Evansville Aces,Bradley Braves,1/4/2017
Loyola Chicago Ramblers,Bradley Braves,1/7/2017
UNI Panthers,Bradley Braves,1/11/2017
Indiana State Sycamores,Bradley Braves,1/14/2017
Illinois State Redbirds,Bradley Braves,1/18/2017
Missouri State Bears,Bradley Braves,1/21/2017
Loyola Chicago Ramblers,Bradley Braves,1/25/2017
Wichita State Shockers,Bradley Braves,1/29/2017
Southern Illinois Salukis,Bradley Braves,2/1/2017
Drake Bulldogs,Bradley Braves,2/4/2017
Indiana State Sycamores,Bradley Braves,2/8/2017
Illinois State Redbirds,Bradley Braves,2/11/2017
UNI Panthers,Bradley Braves,2/15/2017
Evansville Aces,Bradley Braves,2/18/2017
Missouri State Bears,Bradley Braves,2/22/2017
Drake Bulldogs,Bradley Braves,2/25/2017
Drake Bulldogs,Bradley Braves,3/2/2017
Niagara Purple Eagles,Brown Bears,11/13/2016
Marist Red Foxes,Brown Bears,11/19/2016
Morgan State Bears,Brown Bears,11/23/2016
Bryant Bulldogs,Brown Bears,11/28/2016
St. Francis Brooklyn Terriers,Brown Bears,11/30/2016
Central Connecticut State Blue Devils,Brown Bears,12/3/2016
Emerson,Brown Bears,12/9/2016
Johnson & Wales (RI),Brown Bears,12/10/2016
Maine Black Bears,Brown Bears,12/22/2016
Quinnipiac Bobcats,Brown Bears,12/29/2016
Stony Brook Seawolves,Brown Bears,12/31/2016
NJIT Highlanders,Brown Bears,1/4/2017
Princeton Tigers,Brown Bears,1/13/2017
Penn Quakers,Brown Bears,1/14/2017
Yale Bulldogs,Brown Bears,1/20/2017
Yale Bulldogs,Brown Bears,1/27/2017
Cornell Big Red,Brown Bears,2/3/2017
Columbia Lions,Brown Bears,2/4/2017
Harvard Crimson,Brown Bears,2/10/2017
Dartmouth Big Green,Brown Bears,2/11/2017
Penn Quakers,Brown Bears,2/17/2017
Princeton Tigers,Brown Bears,2/18/2017
Dartmouth Big Green,Brown Bears,2/24/2017
Harvard Crimson,Brown Bears,2/25/2017
Columbia Lions,Brown Bears,3/3/2017
Cornell Big Red,Brown Bears,3/4/2017
Salve Regina,Bryant Bulldogs,11/15/2016
Eastern Washington Eagles,Bryant Bulldogs,11/21/2016
Louisiana-Monroe Warhawks,Bryant Bulldogs,11/22/2016
Yale Bulldogs,Bryant Bulldogs,11/30/2016
Ohio Bobcats,Bryant Bulldogs,12/3/2016
Navy Midshipmen,Bryant Bulldogs,12/6/2016
New Hampshire Wildcats,Bryant Bulldogs,12/10/2016
Dartmouth Big Green,Bryant Bulldogs,12/22/2016
St. Francis Brooklyn Terriers,Bryant Bulldogs,12/29/2016
LIU Brooklyn Blackbirds,Bryant Bulldogs,12/31/2016
Mount St. Mary's Mountaineers,Bryant Bulldogs,1/5/2017
Fairleigh Dickinson Knights,Bryant Bulldogs,1/7/2017
Wagner Seahawks,Bryant Bulldogs,1/12/2017
Sacred Heart Pioneers,Bryant Bulldogs,1/14/2017
Harvard Crimson,Bryant Bulldogs,1/16/2017
Saint Francis U Red Flash,Bryant Bulldogs,1/19/2017
Robert Morris Colonials,Bryant Bulldogs,1/21/2017
Central Connecticut State Blue Devils,Bryant Bulldogs,1/25/2017
Fairleigh Dickinson Knights,Bryant Bulldogs,1/28/2017
Mount St. Mary's Mountaineers,Bryant Bulldogs,2/2/2017
Sacred Heart Pioneers,Bryant Bulldogs,2/4/2017
LIU Brooklyn Blackbirds,Bryant Bulldogs,2/9/2017
St. Francis Brooklyn Terriers,Bryant Bulldogs,2/11/2017
Robert Morris Colonials,Bryant Bulldogs,2/16/2017
Saint Francis U Red Flash,Bryant Bulldogs,2/18/2017
Wagner Seahawks,Bryant Bulldogs,2/23/2017
Central Connecticut State Blue Devils,Bryant Bulldogs,2/25/2017
Saint Francis U Red Flash,Bryant Bulldogs,3/1/2017
Manhattan Jaspers,Bucknell Bison,11/11/2016
Robert Morris Colonials,Bucknell Bison,11/16/2016
Norfolk State Spartans,Bucknell Bison,11/24/2016
Northern Colorado Bears,Bucknell Bison,11/25/2016
Richmond Spiders,Bucknell Bison,11/30/2016
La Salle Explorers,Bucknell Bison,12/3/2016
Fairfield Stags,Bucknell Bison,12/6/2016
Siena Saints,Bucknell Bison,12/17/2016
Mount St. Mary's Mountaineers,Bucknell Bison,12/19/2016
Princeton Tigers,Bucknell Bison,12/22/2016
Navy Midshipmen,Bucknell Bison,12/30/2016
Holy Cross Crusaders,Bucknell Bison,1/8/2017
Lehigh Mountain Hawks,Bucknell Bison,1/11/2017
Colgate Raiders,Bucknell Bison,1/14/2017
Loyola Maryland Greyhounds,Bucknell Bison,1/18/2017
Lafayette Leopards,Bucknell Bison,1/25/2017
Holy Cross Crusaders,Bucknell Bison,2/6/2017
Lehigh Mountain Hawks,Bucknell Bison,2/8/2017
Colgate Raiders,Bucknell Bison,2/13/2017
Loyola Maryland Greyhounds,Bucknell Bison,2/15/2017
Lafayette Leopards,Bucknell Bison,2/22/2017
Navy Midshipmen,Bucknell Bison,2/25/2017
Navy Midshipmen,Bucknell Bison,3/5/2017
Lehigh Mountain Hawks,Bucknell Bison,3/8/2017
Niagara Purple Eagles,Buffalo Bulls,11/11/2016
Nazareth,Buffalo Bulls,11/17/2016
@ Alas. Anchorage,Buffalo Bulls,11/23/2016
Nevada Wolf Pack,Buffalo Bulls,11/25/2016
Weber State Wildcats,Buffalo Bulls,11/26/2016
St. Bonaventure Bonnies,Buffalo Bulls,12/3/2016
Coppin State Eagles,Buffalo Bulls,12/10/2016
Canisius Golden Griffins,Buffalo Bulls,12/17/2016
Robert Morris Colonials,Buffalo Bulls,12/21/2016
Maine Black Bears,Buffalo Bulls,12/30/2016
Toledo Rockets,Buffalo Bulls,1/3/2017
Eastern Michigan Eagles,Buffalo Bulls,1/7/2017
Ohio Bobcats,Buffalo Bulls,1/10/2017
Kent State Golden Flashes,Buffalo Bulls,1/17/2017
Western Michigan Broncos,Buffalo Bulls,1/21/2017
Miami (OH) RedHawks,Buffalo Bulls,1/24/2017
Central Michigan Chippewas,Buffalo Bulls,1/31/2017
Northern Illinois Huskies,Buffalo Bulls,2/7/2017
Central Michigan Chippewas,Buffalo Bulls,2/14/2017
Miami (OH) RedHawks,Buffalo Bulls,2/18/2017
Kent State Golden Flashes,Buffalo Bulls,2/21/2017
Ohio Bobcats,Buffalo Bulls,2/28/2017
Kent State Golden Flashes,Buffalo Bulls,3/9/2017
San Diego Christian,Bakersfield Roadrunners,11/12/2016
UC Santa Barbara Gauchos,Bakersfield Roadrunners,11/19/2016
Fresno State Bulldogs,Bakersfield Roadrunners,11/22/2016
Wright State Raiders,Bakersfield Roadrunners,11/25/2016
North Florida Ospreys,Bakersfield Roadrunners,11/26/2016
North Dakota Fighting Hawks,Bakersfield Roadrunners,11/27/2016
Pacific Union,Bakersfield Roadrunners,11/30/2016
Northern Arizona Lumberjacks,Bakersfield Roadrunners,12/5/2016
Portland State Vikings,Bakersfield Roadrunners,12/10/2016
Bethesda (CA),Bakersfield Roadrunners,12/15/2016
UC Santa Barbara Gauchos,Bakersfield Roadrunners,12/27/2016
Dartmouth Big Green,Bakersfield Roadrunners,1/3/2017
Seattle Redhawks,Bakersfield Roadrunners,1/7/2017
Texas-Rio Grande Valley Vaqueros,Bakersfield Roadrunners,1/12/2017
New Mexico State Aggies,Bakersfield Roadrunners,1/14/2017
Utah Valley Wolverines,Bakersfield Roadrunners,1/21/2017
Chicago State Cougars,Bakersfield Roadrunners,1/26/2017
UMKC Kangaroos,Bakersfield Roadrunners,1/28/2017
Grand Canyon Antelopes,Bakersfield Roadrunners,2/4/2017
New Mexico State Aggies,Bakersfield Roadrunners,2/9/2017
Texas-Rio Grande Valley Vaqueros,Bakersfield Roadrunners,2/11/2017
Utah Valley Wolverines,Bakersfield Roadrunners,2/16/2017
Seattle Redhawks,Bakersfield Roadrunners,2/18/2017
UMKC Kangaroos,Bakersfield Roadrunners,2/23/2017
Chicago State Cougars,Bakersfield Roadrunners,2/25/2017
Grand Canyon Antelopes,Bakersfield Roadrunners,3/4/2017
Utah Valley Wolverines,Bakersfield Roadrunners,3/10/2017
New Mexico State Aggies,Bakersfield Roadrunners,3/11/2017
Pomona-Pitzer,CSUN Matadors,11/11/2016
Northern Illinois Huskies,CSUN Matadors,11/19/2016
New Mexico Lobos,CSUN Matadors,11/25/2016
Portland Pilots,CSUN Matadors,11/27/2016
Idaho State Bengals,CSUN Matadors,12/3/2016
Loyola Marymount Lions,CSUN Matadors,12/10/2016
Bethesda (CA),CSUN Matadors,12/16/2016
Morgan State Bears,CSUN Matadors,12/29/2016
UC Riverside Highlanders,CSUN Matadors,1/4/2017
Cal State Fullerton Titans,CSUN Matadors,1/7/2017
Long Beach State 49ers,CSUN Matadors,1/11/2017
UC Davis Aggies,CSUN Matadors,1/14/2017
Hawaii Rainbow Warriors,CSUN Matadors,1/18/2017
UC Irvine Anteaters,CSUN Matadors,1/21/2017
UC Santa Barbara Gauchos,CSUN Matadors,1/25/2017
UC Riverside Highlanders,CSUN Matadors,1/28/2017
Long Beach State 49ers,CSUN Matadors,2/1/2017
Hawaii Rainbow Warriors,CSUN Matadors,2/4/2017
UC Santa Barbara Gauchos,CSUN Matadors,2/11/2017
Cal Poly Mustangs,CSUN Matadors,2/15/2017
UC Davis Aggies,CSUN Matadors,2/23/2017
UC Irvine Anteaters,CSUN Matadors,2/25/2017
Cal Poly Mustangs,CSUN Matadors,3/2/2017
Cal State Fullerton Titans,CSUN Matadors,3/4/2017
Cal State Fullerton Titans,CSUN Matadors,3/9/2017
Pepperdine Waves,Cal Poly Mustangs,11/11/2016
Cal St. Dom. Hills,Cal Poly Mustangs,11/17/2016
Bethesda (CA),Cal Poly Mustangs,11/19/2016
Northern Illinois Huskies,Cal Poly Mustangs,11/23/2016
UIC Flames,Cal Poly Mustangs,11/25/2016
Elon Phoenix,Cal Poly Mustangs,11/26/2016
Texas A&M-Corpus Christi Islanders,Cal Poly Mustangs,12/3/2016
Fresno State Bulldogs,Cal Poly Mustangs,12/10/2016
Grand Canyon Antelopes,Cal Poly Mustangs,12/28/2016
Princeton Tigers,Cal Poly Mustangs,12/31/2016
UC Davis Aggies,Cal Poly Mustangs,1/7/2017
Cal State Fullerton Titans,Cal Poly Mustangs,1/12/2017
UC Santa Barbara Gauchos,Cal Poly Mustangs,1/14/2017
UC Irvine Anteaters,Cal Poly Mustangs,1/18/2017
Long Beach State 49ers,Cal Poly Mustangs,1/21/2017
UC Irvine Anteaters,Cal Poly Mustangs,1/26/2017
Cal State Fullerton Titans,Cal Poly Mustangs,1/28/2017
UC Davis Aggies,Cal Poly Mustangs,2/2/2017
UC Riverside Highlanders,Cal Poly Mustangs,2/4/2017
Hawaii Rainbow Warriors,Cal Poly Mustangs,2/9/2017
Hawaii Rainbow Warriors,Cal Poly Mustangs,2/18/2017
Long Beach State 49ers,Cal Poly Mustangs,2/23/2017
UC Riverside Highlanders,Cal Poly Mustangs,2/25/2017
UC Santa Barbara Gauchos,Cal Poly Mustangs,3/4/2017
UC Davis Aggies,Cal Poly Mustangs,3/9/2017
Caltech,Cal State Fullerton Titans,11/11/2016
Portland State Vikings,Cal State Fullerton Titans,11/13/2016
UNLV Runnin' Rebels,Cal State Fullerton Titans,11/19/2016
Jacksonville State Gamecocks,Cal State Fullerton Titans,11/25/2016
Omaha Mavericks,Cal State Fullerton Titans,11/30/2016
Pacific Tigers,Cal State Fullerton Titans,12/3/2016
San Diego Toreros,Cal State Fullerton Titans,12/7/2016
Southern Utah Thunderbirds,Cal State Fullerton Titans,12/10/2016
Omaha Mavericks,Cal State Fullerton Titans,12/18/2016
Portland Pilots,Cal State Fullerton Titans,12/22/2016
Bethesda (CA),Cal State Fullerton Titans,12/30/2016
Hawaii Rainbow Warriors,Cal State Fullerton Titans,1/5/2017
UC Irvine Anteaters,Cal State Fullerton Titans,1/14/2017
UC Riverside Highlanders,Cal State Fullerton Titans,1/18/2017
Long Beach State 49ers,Cal State Fullerton Titans,1/26/2017
UC Santa Barbara Gauchos,Cal State Fullerton Titans,2/2/2017
UC Davis Aggies,Cal State Fullerton Titans,2/8/2017
Long Beach State 49ers,Cal State Fullerton Titans,2/11/2017
UC Riverside Highlanders,Cal State Fullerton Titans,2/16/2017
UC Davis Aggies,Cal State Fullerton Titans,2/18/2017
UC Irvine Anteaters,Cal State Fullerton Titans,2/22/2017
Hawaii Rainbow Warriors,Cal State Fullerton Titans,2/25/2017
UC Santa Barbara Gauchos,Cal State Fullerton Titans,3/2/2017
UC Davis Aggies,Cal State Fullerton Titans,3/10/2017
Bridgewater (VA),Campbell Fighting Camels,11/15/2016
Morgan State Bears,Campbell Fighting Camels,11/19/2016
Samford Bulldogs,Campbell Fighting Camels,11/21/2016
VMI Keydets,Campbell Fighting Camels,11/26/2016
Allen,Campbell Fighting Camels,11/28/2016
USC Upstate Spartans,Campbell Fighting Camels,12/2/2016
Colgate Raiders,Campbell Fighting Camels,12/3/2016
Citadel Bulldogs,Campbell Fighting Camels,12/4/2016
UNCW Seahawks,Campbell Fighting Camels,12/14/2016
Johnson & Wales (NC),Campbell Fighting Camels,12/19/2016
Stetson Hatters,Campbell Fighting Camels,12/22/2016
Longwood Lancers,Campbell Fighting Camels,12/29/2016
Presbyterian Blue Hose,Campbell Fighting Camels,12/31/2016
Charleston Southern Buccaneers,Campbell Fighting Camels,1/4/2017
Liberty Flames,Campbell Fighting Camels,1/7/2017
Gardner-Webb Runnin' Bulldogs,Campbell Fighting Camels,1/11/2017
Winthrop Eagles,Campbell Fighting Camels,1/14/2017
High Point Panthers,Campbell Fighting Camels,1/19/2017
UNC Asheville Bulldogs,Campbell Fighting Camels,1/21/2017
Radford Highlanders,Campbell Fighting Camels,1/26/2017
Liberty Flames,Campbell Fighting Camels,1/28/2017
Gardner-Webb Runnin' Bulldogs,Campbell Fighting Camels,2/1/2017
Winthrop Eagles,Campbell Fighting Camels,2/4/2017
Longwood Lancers,Campbell Fighting Camels,2/9/2017
Presbyterian Blue Hose,Campbell Fighting Camels,2/11/2017
Charleston Southern Buccaneers,Campbell Fighting Camels,2/15/2017
UNC Asheville Bulldogs,Campbell Fighting Camels,2/18/2017
High Point Panthers,Campbell Fighting Camels,2/23/2017
Radford Highlanders,Campbell Fighting Camels,2/25/2017
Presbyterian Blue Hose,Campbell Fighting Camels,2/28/2017
UNC Asheville Bulldogs,Campbell Fighting Camels,3/2/2017
Radford Highlanders,Campbell Fighting Camels,3/3/2017
Winthrop Eagles,Campbell Fighting Camels,3/5/2017
Cleveland State Vikings,Canisius Golden Griffins,11/15/2016
Duquesne Dukes,Canisius Golden Griffins,11/18/2016
UT Martin Skyhawks,Canisius Golden Griffins,11/21/2016
Tennessee State Tigers,Canisius Golden Griffins,11/23/2016
Youngstown State Penguins,Canisius Golden Griffins,11/26/2016
Manhattan Jaspers,Canisius Golden Griffins,12/2/2016
Monmouth Hawks,Canisius Golden Griffins,12/4/2016
St. Francis Brooklyn Terriers,Canisius Golden Griffins,12/10/2016
St. Bonaventure Bonnies,Canisius Golden Griffins,12/22/2016
Siena Saints,Canisius Golden Griffins,1/2/2017
Quinnipiac Bobcats,Canisius Golden Griffins,1/4/2017
Iona Gaels,Canisius Golden Griffins,1/8/2017
Fairfield Stags,Canisius Golden Griffins,1/10/2017
Marist Red Foxes,Canisius Golden Griffins,1/14/2017
Monmouth Hawks,Canisius Golden Griffins,1/16/2017
Quinnipiac Bobcats,Canisius Golden Griffins,1/20/2017
Niagara Purple Eagles,Canisius Golden Griffins,1/23/2017
Manhattan Jaspers,Canisius Golden Griffins,1/28/2017
Rider Broncs,Canisius Golden Griffins,1/30/2017
Siena Saints,Canisius Golden Griffins,2/4/2017
Saint Peter's Peacocks,Canisius Golden Griffins,2/6/2017
Niagara Purple Eagles,Canisius Golden Griffins,2/10/2017
Iona Gaels,Canisius Golden Griffins,2/14/2017
Rider Broncs,Canisius Golden Griffins,2/17/2017
Marist Red Foxes,Canisius Golden Griffins,2/19/2017
Fairfield Stags,Canisius Golden Griffins,2/24/2017
Saint Peter's Peacocks,Canisius Golden Griffins,2/26/2017
Marist Red Foxes,Canisius Golden Griffins,3/2/2017
Saint Peter's Peacocks,Canisius Golden Griffins,3/3/2017
Chattanooga Mocs,Central Arkansas Bears,11/19/2016
Western Michigan Broncos,Central Arkansas Bears,11/26/2016
Little Rock Trojans,Central Arkansas Bears,11/29/2016
Southeast Missouri State Redhawks,Central Arkansas Bears,12/1/2016
Little Rock Trojans,Central Arkansas Bears,12/10/2016
Morehead State Eagles,Central Arkansas Bears,12/19/2016
Sam Houston State Bearkats,Central Arkansas Bears,12/31/2016
Lamar Cardinals,Central Arkansas Bears,1/2/2017
Houston Baptist Huskies,Central Arkansas Bears,1/12/2017
Texas A&M-Corpus Christi Islanders,Central Arkansas Bears,1/14/2017
McNeese State Cowboys,Central Arkansas Bears,1/18/2017
New Orleans Privateers,Central Arkansas Bears,1/21/2017
Stephen F. Austin Lumberjacks,Central Arkansas Bears,1/25/2017
Incarnate Word Cardinals,Central Arkansas Bears,1/28/2017
Northwestern State Demons,Central Arkansas Bears,2/2/2017
Southeastern Louisiana Lions,Central Arkansas Bears,2/4/2017
Nicholls Colonels,Central Arkansas Bears,2/11/2017
Nicholls Colonels,Central Arkansas Bears,2/16/2017
New Orleans Privateers,Central Arkansas Bears,2/18/2017
Southeastern Louisiana Lions,Central Arkansas Bears,2/22/2017
Stephen F. Austin Lumberjacks,Central Arkansas Bears,2/25/2017
Northwestern State Demons,Central Arkansas Bears,3/4/2017
Sam Houston State Bearkats,Central Arkansas Bears,3/8/2017
Hartford Hawks,Central Connecticut State Blue Devils,11/11/2016
Penn Quakers,Central Connecticut State Blue Devils,11/22/2016
Maine Black Bears,Central Connecticut State Blue Devils,11/30/2016
Duquesne Dukes,Central Connecticut State Blue Devils,12/10/2016
Yale Bulldogs,Central Connecticut State Blue Devils,12/13/2016
Massachusetts-Lowell River Hawks,Central Connecticut State Blue Devils,12/18/2016
Fordham Rams,Central Connecticut State Blue Devils,12/21/2016
Wagner Seahawks,Central Connecticut State Blue Devils,12/29/2016
St. Francis Brooklyn Terriers,Central Connecticut State Blue Devils,12/31/2016
Sacred Heart Pioneers,Central Connecticut State Blue Devils,1/5/2017
Mount St. Mary's Mountaineers,Central Connecticut State Blue Devils,1/7/2017
LIU Brooklyn Blackbirds,Central Connecticut State Blue Devils,1/12/2017
Fairleigh Dickinson Knights,Central Connecticut State Blue Devils,1/14/2017
Robert Morris Colonials,Central Connecticut State Blue Devils,1/19/2017
Saint Francis U Red Flash,Central Connecticut State Blue Devils,1/21/2017
LIU Brooklyn Blackbirds,Central Connecticut State Blue Devils,1/28/2017
Wagner Seahawks,Central Connecticut State Blue Devils,2/2/2017
Mount St. Mary's Mountaineers,Central Connecticut State Blue Devils,2/4/2017
Fairleigh Dickinson Knights,Central Connecticut State Blue Devils,2/9/2017
Sacred Heart Pioneers,Central Connecticut State Blue Devils,2/11/2017
Saint Francis U Red Flash,Central Connecticut State Blue Devils,2/16/2017
Robert Morris Colonials,Central Connecticut State Blue Devils,2/18/2017
St. Francis Brooklyn Terriers,Central Connecticut State Blue Devils,2/23/2017
Ind.-Kokomo,Central Michigan Chippewas,11/11/2016
Tennessee Tech Golden Eagles,Central Michigan Chippewas,11/14/2016
Marygrove,Central Michigan Chippewas,11/17/2016
Pepperdine Waves,Central Michigan Chippewas,11/21/2016
St. Bonaventure Bonnies,Central Michigan Chippewas,11/22/2016
Little Rock Trojans,Central Michigan Chippewas,11/23/2016
Green Bay Phoenix,Central Michigan Chippewas,11/26/2016
William & Mary Tribe,Central Michigan Chippewas,11/29/2016
Green Bay Phoenix,Central Michigan Chippewas,12/6/2016
Montana State Bobcats,Central Michigan Chippewas,12/21/2016
Chicago State Cougars,Central Michigan Chippewas,12/30/2016
Eastern Michigan Eagles,Central Michigan Chippewas,1/3/2017
Northern Illinois Huskies,Central Michigan Chippewas,1/7/2017
Toledo Rockets,Central Michigan Chippewas,1/13/2017
Miami (OH) RedHawks,Central Michigan Chippewas,1/21/2017
Kent State Golden Flashes,Central Michigan Chippewas,1/28/2017
Western Michigan Broncos,Central Michigan Chippewas,2/3/2017
Ohio Bobcats,Central Michigan Chippewas,2/7/2017
Miami (OH) RedHawks,Central Michigan Chippewas,2/11/2017
Northern Illinois Huskies,Central Michigan Chippewas,2/21/2017
Toledo Rockets,Central Michigan Chippewas,2/24/2017
Eastern Michigan Eagles,Central Michigan Chippewas,2/28/2017
Western Michigan Broncos,Central Michigan Chippewas,3/3/2017
Kent State Golden Flashes,Central Michigan Chippewas,3/6/2017
Columbia Int'l,Charleston Southern Buccaneers,11/15/2016
USC Upstate Spartans,Charleston Southern Buccaneers,11/19/2016
Toccoa Falls,Charleston Southern Buccaneers,11/26/2016
Johnson & Wales (NC),Charleston Southern Buccaneers,12/10/2016
VMI Keydets,Charleston Southern Buccaneers,12/13/2016
Winthrop Eagles,Charleston Southern Buccaneers,12/29/2016
Liberty Flames,Charleston Southern Buccaneers,12/31/2016
Gardner-Webb Runnin' Bulldogs,Charleston Southern Buccaneers,1/7/2017
Radford Highlanders,Charleston Southern Buccaneers,1/11/2017
UNC Asheville Bulldogs,Charleston Southern Buccaneers,1/14/2017
Presbyterian Blue Hose,Charleston Southern Buccaneers,1/19/2017
Longwood Lancers,Charleston Southern Buccaneers,1/21/2017
High Point Panthers,Charleston Southern Buccaneers,1/26/2017
Gardner-Webb Runnin' Bulldogs,Charleston Southern Buccaneers,1/28/2017
UNC Asheville Bulldogs,Charleston Southern Buccaneers,2/1/2017
Presbyterian Blue Hose,Charleston Southern Buccaneers,2/4/2017
Radford Highlanders,Charleston Southern Buccaneers,2/9/2017
Liberty Flames,Charleston Southern Buccaneers,2/11/2017
