PlayerName,Region,FGM,FGA,FGAPerZone,PercentRankZone,FGPer,PerOverall,PerPosition
Clayton Hughes,Long MR,1,1,16.67%,NR,100.00%,NR,NR
Clayton Hughes,NBA 3s,2,4,66.67%,NR,50.00%,NR,NR
Bronson Kessinger,Left Wing,0,0,0.00%,NR,NA,NR,NR
Bronson Kessinger,Above Break,2,6,42.86%,NR,33.33%,NR,NR
Bronson Kessinger,Right Wing,0,0,0.00%,NR,NA,NR,NR
Bronson Kessinger,Rim,3,6,42.86%,NR,50.00%,NR,NR
Bronson Kessinger,Short MR,0,0,0,NR,NA,NR,NR
Bronson Kessinger,Long MR,1,2,14.29%,NR,50.00%,NR,NR
Bronson Kessinger,NBA 3s,1,5,35.71%,NR,20.00%,NR,NR
Emondre Rickman,Left Wing,0,0,0,NR,NA,NR,NR
Emondre Rickman,Above Break,0,0,0,NR,NA,NR,NR
Emondre Rickman,Right Wing,0,0,0,NR,NA,NR,NR
Emondre Rickman,Rim,4,8,44.44%,NR,50.00%,NR,NR
Emondre Rickman,Short MR,1,7,38.89%,NR,14.29%,NR,NR
Emondre Rickman,Long MR,0,3,16.67%,NR,0.00%,NR,NR
Emondre Rickman,NBA 3s,0,0,0,NR,NA,NR,NR
Brandon Murphy,Left Wing,0,0,0,NR,NA,NR,NR
Brandon Murphy,Above Break,0,0,0,NR,NA,NR,NR
Brandon Murphy,Right Wing,0,0,0,NR,NA,NR,NR
Brandon Murphy,Rim,9,11,55.00%,NR,81.82%,NR,NR
Brandon Murphy,Short MR,2,3,15.00%,NR,66.67%,NR,NR
Brandon Murphy,Long MR,3,6,30.00%,NR,50.00%,NR,NR
Brandon Murphy,NBA 3s,0,0,0,NR,NA,NR,NR
Tyreke Key,Left Wing,1,1,2.63%,NR,100.00%,NR,NR
Tyreke Key,Above Break,1,8,21.05%,NR,12.50%,NR,NR
Tyreke Key,Right Wing,0,1,2.63%,NR,0.00%,NR,NR
Tyreke Key,Rim,9,17,44.74%,79.24%,52.94%,45.47%,61.99%
Tyreke Key,Short MR,1,5,13.16%,NR,20.00%,NR,NR
Tyreke Key,Long MR,2,6,15.79%,NR,33.33%,NR,NR
Tyreke Key,NBA 3s,1,8,21.05%,NR,12.50%,NR,NR
Jordan Barnes,Left Wing,2,3,6.00%,NR,66.67%,NR,NR
Jordan Barnes,Above Break,13,26,52.00%,89.15%,50.00%,98.81%,98.71%
Jordan Barnes,Right Wing,3,6,12.00%,NR,50.00%,NR,NR
Jordan Barnes,Rim,2,6,12.00%,NR,33.33%,NR,NR
Jordan Barnes,Short MR,0,4,8.00%,NR,0.00%,NR,NR
Jordan Barnes,Long MR,1,5,10.00%,NR,20.00%,NR,NR
Jordan Barnes,NBA 3s,16,31,62.00%,96.74%,51.61%,98.99%,98.91%
Qiydar Davis,Left Wing,1,5,12.50%,NR,20.00%,NR,NR
Qiydar Davis,Above Break,3,6,15.00%,NR,50.00%,NR,NR
Qiydar Davis,Right Wing,2,2,5.00%,NR,100.00%,NR,NR
Qiydar Davis,Rim,11,15,37.50%,NR,73.33%,NR,NR
Qiydar Davis,Short MR,1,5,12.50%,NR,20.00%,NR,NR
Qiydar Davis,Long MR,1,7,17.50%,NR,14.29%,NR,NR
Qiydar Davis,NBA 3s,6,11,27.50%,NR,54.55%,NR,NR
Devin Thomas,Left Wing,0,0,0.00%,NR,NA,NR,NR
Devin Thomas,Above Break,2,4,0.307692308,NR,50.00%,NR,NR
Devin Thomas,Right Wing,1,2,0.153846154,NR,50.00%,NR,NR
Devin Thomas,Rim,2,4,30.77%,NR,50.00%,NR,NR
Devin Thomas,Short MR,1,3,23.08%,NR,33.33%,NR,NR
Devin Thomas,Long MR,0,0,0,NR,NA,NR,NR
Devin Thomas,NBA 3s,3,5,38.46%,NR,60.00%,NR,NR
Brandon Randolph (Utah Valley Wolverines),Left Wing,0,1,3.23%,NR,0.00%,NR,NR
Brandon Randolph (Utah Valley Wolverines),Above Break,2,7,22.58%,NR,28.57%,NR,NR
Brandon Randolph (Utah Valley Wolverines),Right Wing,0,1,3.23%,NR,0.00%,NR,NR
Brandon Randolph (Utah Valley Wolverines),Rim,7,11,35.48%,NR,63.64%,NR,NR
Brandon Randolph (Utah Valley Wolverines),Short MR,2,6,19.35%,NR,33.33%,NR,NR
Brandon Randolph (Utah Valley Wolverines),Long MR,1,5,16.13%,NR,20.00%,NR,NR
Brandon Randolph (Utah Valley Wolverines),NBA 3s,0,4,12.90%,NR,0.00%,NR,NR
Akolda Manyang,Left Wing,0,0,0,NR,NA,NR,NR
Akolda Manyang,Above Break,0,0,0,NR,NA,NR,NR
Akolda Manyang,Right Wing,0,0,0,NR,NA,NR,NR
Akolda Manyang,Rim,9,13,72.22%,NR,69.23%,NR,NR
