Xrim1,YRim1,XRim2,YRim2,XPaint1,YPaint1,XPaint2,YPaint2,XFC1,YFC1,XFC2,YFC2,X3P1,Y3P1,X3P2,Y3P2,XBackB1,YBackB1,XBackB2,YBackB2,HalfCX,HalfCY,HalfX2,HalfY2,BoundX,BoundY
3.626782637,45.47244078,93.37321736,45.47244078,18.6306383,32,78.3693617,32,23.07250894,53.19253332,73.92749106,53.19253332,17.75578864,77.80584932,79.24421136,77.80584932,2.686170213,49.26,94.31382979,49.26,44.43812936,53.19253332,48.5,-6,-1,-2.6
3.599630415,45.48153251,93.40036958,45.48153251,18.6206383,32,78.3793617,32,23.15637301,53.05651496,73.84362699,53.05651496,18.06428107,77.32293328,78.93571893,77.32293328,2.686170213,49.25,94.31382979,49.25,44.35426528,53.05651496,48.5,-5.9,-1,-2.4
3.572327646,45.48881923,93.42767235,45.48881923,18.6106383,32,78.3893617,32,23.23897426,52.91773791,73.76102574,52.91773791,18.36828834,76.82986674,78.63171166,76.82986674,2.686170213,49.24,94.31382979,49.24,44.27166404,52.91773791,48.5,-5.8,-1,-2.2
3.544907595,45.49429205,93.45509241,45.49429205,18.6006383,32,78.3993617,32,23.32028751,52.77624442,73.67971249,52.77624442,18.66771785,76.32679991,78.33228215,76.32679991,2.686170213,49.23,94.31382979,49.23,44.19035079,52.77624442,48.5,-5.7,-1,-2
3.517403668,45.4979443,93.48259633,45.4979443,18.5906383,32,78.4093617,32,23.400288,52.6320776,73.599712,52.6320776,18.96247839,75.81388602,78.03752161,75.81388602,2.686170213,49.22,94.31382979,49.22,44.1103503,52.6320776,48.5,-5.6,-1,-1.8
3.489849374,45.49977154,93.51015063,45.49977154,18.5806383,32,78.4193617,32,23.47895136,52.48528137,73.52104864,52.48528137,19.25248017,75.29128131,77.74751983,75.29128131,2.686170213,49.21,94.31382979,49.21,44.03168694,52.48528137,48.5,-5.5,-1,-1.6
3.462278285,45.49977154,93.53772171,45.49977154,18.5706383,32,78.4293617,32,23.55625363,52.33590045,73.44374637,52.33590045,19.53763486,74.75914498,77.46236514,74.75914498,2.686170213,49.2,94.31382979,49.2,43.95438467,52.33590045,48.5,-5.4,-1,-1.4
3.434723992,45.4979443,93.56527601,45.4979443,18.5606383,32,78.4393617,32,23.63217126,52.18398032,73.36782874,52.18398032,19.81785559,74.21763911,77.18214441,74.21763911,2.686170213,49.19,94.31382979,49.19,43.87846703,52.18398032,48.5,-5.3,-1,-1.2
3.407220065,45.49429205,93.59277994,45.49429205,18.5506383,32,78.4493617,32,23.70668113,52.02956728,73.29331887,52.02956728,20.093057,73.66692866,76.906943,73.66692866,2.686170213,49.18,94.31382979,49.18,43.80395717,52.02956728,48.5,-5.2,-1,-1
3.379800013,45.48881923,93.62019999,45.48881923,18.5406383,32,78.4593617,32,23.77976054,51.87270835,73.22023946,51.87270835,20.36315527,73.10718138,76.63684473,73.10718138,2.686170213,49.17,94.31382979,49.17,43.73087776,51.87270835,48.5,-5.1,-1,-0.8
3.352497244,45.48153251,93.64750276,45.48153251,18.5306383,32,78.4693617,32,23.85138723,51.71345132,73.14861277,51.71345132,20.62806812,72.53856776,76.37193188,72.53856776,2.686170213,49.16,94.31382979,49.16,43.65925107,51.71345132,48.5,-5,-1,-0.6
