Left,Right,Date
UNLV Runnin' Rebels,San Jose State Spartans,1/3/2018
Eastern Illinois Panthers,Morehead State Eagles,1/4/2018
UT Martin Skyhawks,Austin Peay Governors,1/4/2018
Green Bay Phoenix,Cleveland State Vikings,1/4/2018
Central Connecticut State Blue Devils,Fairleigh Dickinson Knights,1/4/2018
Bryant Bulldogs,Mount St. Mary's Mountaineers,1/4/2018
St. Francis Brooklyn Terriers,Robert Morris Colonials,1/4/2018
LIU Brooklyn Blackbirds,Saint Francis U Red Flash,1/4/2018
Sacred Heart Pioneers,Wagner Seahawks,1/4/2018
VMI Keydets,Wofford Terriers,1/4/2018
UIC Flames,IUPUI Jaguars,1/4/2018
Vermont Catamounts,Massachusetts-Lowell River Hawks,1/4/2018
Citadel Bulldogs,Furman Paladins,1/4/2018
Arkansas State Red Wolves,Georgia Southern Eagles,1/4/2018
Little Rock Trojans,Georgia State Panthers,1/4/2018
Tennessee Tech Golden Eagles,Belmont Bruins,1/4/2018
SIUE Cougars,Eastern Kentucky Colonels,1/4/2018
Fort Wayne Mastodons,Oral Roberts Golden Eagles,1/4/2018
East Tennessee State Buccaneers,Samford Bulldogs,1/4/2018
Western Carolina Catamounts,Chattanooga Mocs,1/4/2018
Milwaukee Panthers,Youngstown State Penguins,1/4/2018
Appalachian State Mountaineers,Louisiana Ragin' Cajuns,1/4/2018
Southeast Missouri State Redhawks,Murray State Racers,1/4/2018
Coastal Carolina Chanticleers,Louisiana-Monroe Warhawks,1/4/2018
Troy Trojans,UT Arlington Mavericks,1/4/2018
South Alabama Jaguars,Texas State Bobcats,1/4/2018
Jacksonville State Gamecocks,Tennessee State Tigers,1/4/2018
Southern Utah Thunderbirds,Idaho State Bengals,1/4/2018
North Dakota Fighting Hawks,Montana Grizzlies,1/4/2018
Northern Colorado Bears,Montana State Bobcats,1/4/2018
UNI Panthers,Missouri State Bears,1/4/2018
Northern Arizona Lumberjacks,Weber State Wildcats,1/4/2018
Portland State Vikings,Eastern Washington Eagles,1/4/2018
UC Irvine Anteaters,UC Davis Aggies,1/4/2018
UC Santa Barbara Gauchos,Cal Poly Mustangs,1/4/2018
Sacramento State Hornets,Idaho Vandals,1/4/2018
Hawaii Rainbow Warriors,Long Beach State 49ers,1/4/2018
Santa Clara Broncos,Loyola Marymount Lions,1/4/2018
San Diego Toreros,Portland Pilots,1/4/2018
Pacific Tigers,Saint Mary's Gaels,1/4/2018
BYU Cougars,San Francisco Dons,1/4/2018
Central Pennsylvania College Knights,Cornell Big Red,1/5/2018
Holy Cross Crusaders,Lehigh Mountain Hawks,1/5/2018
Akron Zips,Toledo Rockets,1/5/2018
Bucknell Bison,Army West Point Black Knights,1/5/2018
Lafayette Leopards,Colgate Raiders,1/5/2018
William & Mary Tribe,Delaware Fightin' Blue Hens,1/5/2018
Charleston Cougars,Drexel Dragons,1/5/2018
James Madison Dukes,Hofstra Pride,1/5/2018
Saint Peter's Peacocks,Iona Gaels,1/5/2018
Boston University Terriers,Loyola Maryland Greyhounds,1/5/2018
Manhattan Jaspers,Monmouth Hawks,1/5/2018
American University Eagles,Navy Midshipmen,1/5/2018
Elon Phoenix,Northeastern Huskies,1/5/2018
Fairfield Stags,Rider Broncs,1/5/2018
Niagara Purple Eagles,Siena Saints,1/5/2018
UNCW Seahawks,Towson Tigers,1/5/2018
Canisius Golden Griffins,Quinnipiac Bobcats,1/5/2018
Wright State Raiders,Detroit Titans,1/5/2018
Northern Kentucky Norse,Oakland Golden Grizzlies,1/5/2018
Massachusetts Minutemen,Dayton Flyers,1/6/2018
Bowling Green Falcons,Eastern Michigan Eagles,1/6/2018
Albany Great Danes,New Hampshire Wildcats,1/6/2018
UNCG Spartans,VMI Keydets,1/6/2018
Bryant Bulldogs,Sacred Heart Pioneers,1/6/2018
Maine Black Bears,Binghamton Bearcats,1/6/2018
Nevada Wolf Pack,Air Force Falcons,1/6/2018
Buffalo Bulls,Ball State Cardinals,1/6/2018
Winthrop Eagles,Campbell Fighting Camels,1/6/2018
Sarah Lawrence Gryphons,Columbia Lions,1/6/2018
Dartmouth Big Green,Harvard Crimson,1/6/2018
Drake Bulldogs,Indiana State Sycamores,1/6/2018
VCU Rams,La Salle Explorers,1/6/2018
Gardner-Webb Runnin' Bulldogs,Longwood Lancers,1/6/2018
North Dakota State Bison,South Dakota Coyotes,1/6/2018
Arkansas State Red Wolves,Georgia State Panthers,1/6/2018
Fort Wayne Mastodons,Denver Pioneers,1/6/2018
New Mexico State Aggies,Chicago State Cougars,1/6/2018
Appalachian State Mountaineers,Louisiana-Monroe Warhawks,1/6/2018
Milwaukee Panthers,Cleveland State Vikings,1/6/2018
Duquesne Dukes,Fordham Rams,1/6/2018
Western Michigan Broncos,Miami (OH) RedHawks,1/6/2018
Northern Illinois Huskies,Ohio Bobcats,1/6/2018
Eastern Illinois Panthers,Eastern Kentucky Colonels,1/6/2018
Bradley Braves,Evansville Aces,1/6/2018
Rhode Island Rams,George Washington Colonials,1/6/2018
Presbyterian Blue Hose,Liberty Flames,1/6/2018
North Dakota Fighting Hawks,Montana State Bobcats,1/6/2018
Central Connecticut State Blue Devils,Mount St. Mary's Mountaineers,1/6/2018
Princeton Tigers,Penn Quakers,1/6/2018
San Francisco Dons,Pepperdine Waves,1/6/2018
UNC Asheville Bulldogs,Radford Highlanders,1/6/2018
LIU Brooklyn Blackbirds,Robert Morris Colonials,1/6/2018
St. Francis Brooklyn Terriers,Saint Francis U Red Flash,1/6/2018
Southern Illinois Salukis,Valparaiso Crusaders,1/6/2018
Fairleigh Dickinson Knights,Wagner Seahawks,1/6/2018
USC Upstate Spartans,NJIT Highlanders,1/6/2018
Sam Houston State Bearkats,Incarnate Word Cardinals,1/6/2018
SIUE Cougars,Morehead State Eagles,1/6/2018
Savannah State Tigers,Coppin State Eagles,1/6/2018
Mercer Bears,Furman Paladins,1/6/2018
New Orleans Privateers,McNeese State Cowboys,1/6/2018
Hampton Pirates,Maryland Eastern Shore Hawks,1/6/2018
Florida A&M Rattlers,Morgan State Bears,1/6/2018
Stephen F. Austin Lumberjacks,Northwestern State Demons,1/6/2018
Lipscomb Bisons,Kennesaw State Owls,1/6/2018
Little Rock Trojans,Georgia Southern Eagles,1/6/2018
East Tennessee State Buccaneers,Chattanooga Mocs,1/6/2018
Tennessee Tech Golden Eagles,Tennessee State Tigers,1/6/2018
Sacramento State Hornets,Eastern Washington Eagles,1/6/2018
Southeastern Louisiana Lions,Abilene Christian Wildcats,1/6/2018
Fresno State Bulldogs,Colorado State Rams,1/6/2018
Central Arkansas Bears,Lamar Cardinals,1/6/2018
Troy Trojans,Texas State Bobcats,1/6/2018
South Alabama Jaguars,UT Arlington Mavericks,1/6/2018
Mississippi Valley State Delta Devils,Alabama State Hornets,1/6/2018
Bethune-Cookman Wildcats,Howard Bison,1/6/2018
Jacksonville State Gamecocks,Belmont Bruins,1/6/2018
Jackson State Tigers,Alcorn State Braves,1/6/2018
Grambling State Tigers,Southern University Jaguars,1/6/2018
Stony Brook Seawolves,Hartford Hawks,1/6/2018
Central Michigan Chippewas,Kent State Golden Flashes,1/6/2018
Jacksonville Dolphins,North Florida Ospreys,1/6/2018
UMBC Retrievers,Vermont Catamounts,1/6/2018
Citadel Bulldogs,Wofford Terriers,1/6/2018
Green Bay Phoenix,Youngstown State Penguins,1/6/2018
UAPB Golden Lions,Alabama A&M Bulldogs,1/6/2018
Charleston Southern Buccaneers,High Point Panthers,1/6/2018
Stetson Hatters,FGCU Eagles,1/6/2018
South Carolina State Bulldogs,Delaware State Hornets,1/6/2018
Southeast Missouri State Redhawks,Austin Peay Governors,1/6/2018
Nicholls Colonels,Houston Baptist Huskies,1/6/2018
Texas-Rio Grande Valley Vaqueros,UMKC Kangaroos,1/6/2018
UT Martin Skyhawks,Murray State Racers,1/6/2018
Western Illinois Leathernecks,Oral Roberts Golden Eagles,1/6/2018
Western Carolina Catamounts,Samford Bulldogs,1/6/2018
St. Bonaventure Bonnies,Saint Joseph's Hawks,1/6/2018
Richmond Spiders,Saint Louis Billikens,1/6/2018
Coastal Carolina Chanticleers,Louisiana Ragin' Cajuns,1/6/2018
Boise State Broncos,Wyoming Cowboys,1/6/2018
South Dakota State Jackrabbits,Omaha Mavericks,1/6/2018
Prairie View A&M Panthers,Texas Southern Tigers,1/6/2018
Northern Arizona Lumberjacks,Idaho State Bengals,1/6/2018
Northern Colorado Bears,Montana Grizzlies,1/6/2018
San Jose State Spartans,New Mexico Lobos,1/6/2018
Southern Utah Thunderbirds,Weber State Wildcats,1/6/2018
Bakersfield Roadrunners,Utah Valley Wolverines,1/6/2018
Long Beach State 49ers,UC Irvine Anteaters,1/6/2018
Cal State Fullerton Titans,Cal Poly Mustangs,1/6/2018
Portland State Vikings,Idaho Vandals,1/6/2018
Utah State Aggies,UNLV Runnin' Rebels,1/6/2018
Hawaii Rainbow Warriors,CSUN Matadors,1/6/2018
BYU Cougars,Pacific Tigers,1/6/2018
Portland Pilots,Santa Clara Broncos,1/6/2018
Grand Canyon Antelopes,Seattle Redhawks,1/6/2018
San Diego Toreros,Saint Mary's Gaels,1/6/2018
UC Riverside Highlanders,UC Santa Barbara Gauchos,1/7/2018
Davidson Wildcats,George Mason Patriots,1/7/2018
Fairfield Stags,Iona Gaels,1/7/2018
UNCW Seahawks,Delaware Fightin' Blue Hens,1/7/2018
Northern Kentucky Norse,Detroit Titans,1/7/2018
Missouri State Bears,Illinois State Redbirds,1/7/2018
Niagara Purple Eagles,Marist Red Foxes,1/7/2018
James Madison Dukes,Northeastern Huskies,1/7/2018
Quinnipiac Bobcats,Saint Peter's Peacocks,1/7/2018
Charleston Cougars,Towson Tigers,1/7/2018
Wright State Raiders,Oakland Golden Grizzlies,1/7/2018
Canisius Golden Griffins,Siena Saints,1/7/2018
William & Mary Tribe,Drexel Dragons,1/7/2018
Elon Phoenix,Hofstra Pride,1/7/2018
Loyola Chicago Ramblers,UNI Panthers,1/7/2018
Rider Broncs,Manhattan Jaspers,1/7/2018
Navy Midshipmen,Colgate Raiders,1/8/2018
Savannah State Tigers,Morgan State Bears,1/8/2018
Army West Point Black Knights,American University Eagles,1/8/2018
Lehigh Mountain Hawks,Boston University Terriers,1/8/2018
Bucknell Bison,Lafayette Leopards,1/8/2018
Loyola Maryland Greyhounds,Holy Cross Crusaders,1/8/2018
UAPB Golden Lions,Alabama State Hornets,1/8/2018
Bethune-Cookman Wildcats,Maryland Eastern Shore Hawks,1/8/2018
North Carolina A&T Aggies,Delaware State Hornets,1/8/2018
Florida A&M Rattlers,Coppin State Eagles,1/8/2018
Norfolk State Spartans,North Carolina Central Eagles,1/8/2018
Grambling State Tigers,Alcorn State Braves,1/8/2018
Jackson State Tigers,Southern University Jaguars,1/8/2018
Mississippi Valley State Delta Devils,Alabama A&M Bulldogs,1/8/2018
Buffalo Bulls,Akron Zips,1/9/2018
Northern Illinois Huskies,Bowling Green Falcons,1/9/2018
Central Michigan Chippewas,Eastern Michigan Eagles,1/9/2018
Kent State Golden Flashes,Miami (OH) RedHawks,1/9/2018
Longwood Lancers,UNC Asheville Bulldogs,1/9/2018
Ball State Cardinals,Ohio Bobcats,1/9/2018
Campbell Fighting Camels,Presbyterian Blue Hose,1/9/2018
Dayton Flyers,Richmond Spiders,1/9/2018
Rhode Island Rams,Saint Louis Billikens,1/9/2018
Western Michigan Broncos,Toledo Rockets,1/9/2018
Liberty Flames,Winthrop Eagles,1/9/2018
High Point Panthers,Gardner-Webb Runnin' Bulldogs,1/9/2018
Radford Highlanders,Charleston Southern Buccaneers,1/9/2018
Southern Illinois Salukis,Bradley Braves,1/9/2018
Duquesne Dukes,VCU Rams,1/9/2018
Trinity Baptist Eagles,South Alabama Jaguars,1/9/2018
Boise State Broncos,Fresno State Bulldogs,1/9/2018
San Jose State Spartans,San Diego State Aztecs,1/9/2018
Vermont Catamounts,Dartmouth Big Green,1/10/2018
George Washington Colonials,Davidson Wildcats,1/10/2018
Cleveland State Vikings,Detroit Titans,1/10/2018
Saint Joseph's Hawks,George Mason Patriots,1/10/2018
Massachusetts-Lowell River Hawks,Hartford Hawks,1/10/2018
UNI Panthers,Indiana State Sycamores,1/10/2018
UMBC Retrievers,Maine Black Bears,1/10/2018
La Salle Explorers,Massachusetts Minutemen,1/10/2018
Binghamton Bearcats,New Hampshire Wildcats,1/10/2018
Youngstown State Penguins,Oakland Golden Grizzlies,1/10/2018
Fordham Rams,St. Bonaventure Bonnies,1/10/2018
Furman Paladins,Chattanooga Mocs,1/10/2018
Mercer Bears,Western Carolina Catamounts,1/10/2018
Harvard Crimson,Wofford Terriers,1/10/2018
Milwaukee Panthers,IUPUI Jaguars,1/10/2018
Marist Red Foxes,Quinnipiac Bobcats,1/10/2018
Stony Brook Seawolves,Albany Great Danes,1/10/2018
Missouri State Bears,Evansville Aces,1/10/2018
Abilene Christian Wildcats,Houston Baptist Huskies,1/10/2018
Green Bay Phoenix,UIC Flames,1/10/2018
Loyola Chicago Ramblers,Illinois State Redbirds,1/10/2018
Southeastern Louisiana Lions,Lamar Cardinals,1/10/2018
McNeese State Cowboys,Nicholls Colonels,1/10/2018
New Orleans Privateers,Stephen F. Austin Lumberjacks,1/10/2018
Drake Bulldogs,Valparaiso Crusaders,1/10/2018
Xavier Musketeers,Villanova Wildcats,1/10/2018
Sam Houston State Bearkats,Texas A&M-Corpus Christi Islanders,1/10/2018
Incarnate Word Cardinals,Central Arkansas Bears,1/10/2018
Wyoming Cowboys,New Mexico Lobos,1/10/2018
TCU Horned Frogs,Texas Longhorns,1/10/2018
Colorado State Rams,Utah State Aggies,1/10/2018
UNLV Runnin' Rebels,Air Force Falcons,1/10/2018
Colorado Buffaloes,USC Trojans,1/10/2018
CSUN Matadors,Long Beach State 49ers,1/10/2018
Cal Poly Mustangs,Hawaii Rainbow Warriors,1/10/2018
Lafayette Leopards,Army West Point Black Knights,1/11/2018
Samford Bulldogs,Citadel Bulldogs,1/11/2018
Loyola Maryland Greyhounds,American University Eagles,1/11/2018
Colgate Raiders,Boston University Terriers,1/11/2018
Lehigh Mountain Hawks,Bucknell Bison,1/11/2018
Northeastern Huskies,Charleston Cougars,1/11/2018
Drexel Dragons,Delaware Fightin' Blue Hens,1/11/2018
UNCG Spartans,East Tennessee State Buccaneers,1/11/2018
Tennessee State Tigers,Eastern Illinois Panthers,1/11/2018
UNCW Seahawks,Elon Phoenix,1/11/2018
LIU Brooklyn Blackbirds,Fairleigh Dickinson Knights,1/11/2018
Manhattan Jaspers,Fairfield Stags,1/11/2018
Tulsa Golden Hurricane,Houston Cougars,1/11/2018
Siena Saints,Iona Gaels,1/11/2018
Kennesaw State Owls,Jacksonville Dolphins,1/11/2018
Sacred Heart Pioneers,Mount St. Mary's Mountaineers,1/11/2018
Holy Cross Crusaders,Navy Midshipmen,1/11/2018
Lipscomb Bisons,North Florida Ospreys,1/11/2018
Saint Francis U Red Flash,Robert Morris Colonials,1/11/2018
Central Connecticut State Blue Devils,St. Francis Brooklyn Terriers,1/11/2018
NJIT Highlanders,Stetson Hatters,1/11/2018
Hofstra Pride,Towson Tigers,1/11/2018
James Madison Dukes,William & Mary Tribe,1/11/2018
South Dakota Coyotes,Fort Wayne Mastodons,1/11/2018
USC Upstate Spartans,FGCU Eagles,1/11/2018
Wright State Raiders,Northern Kentucky Norse,1/11/2018
Wagner Seahawks,Bryant Bulldogs,1/11/2018
Georgia State Panthers,Appalachian State Mountaineers,1/11/2018
Georgia Southern Eagles,Coastal Carolina Chanticleers,1/11/2018
UT Arlington Mavericks,Little Rock Trojans,1/11/2018
Omaha Mavericks,Western Illinois Leathernecks,1/11/2018
Belmont Bruins,SIUE Cougars,1/11/2018
Idaho State Bengals,North Dakota Fighting Hawks,1/11/2018
Denver Pioneers,North Dakota State Bison,1/11/2018
Oral Roberts Golden Eagles,South Dakota State Jackrabbits,1/11/2018
Texas State Bobcats,Arkansas State Red Wolves,1/11/2018
Murray State Racers,Jacksonville State Gamecocks,1/11/2018
Morehead State Eagles,Southeast Missouri State Redhawks,1/11/2018
Eastern Kentucky Colonels,UT Martin Skyhawks,1/11/2018
Austin Peay Governors,Tennessee Tech Golden Eagles,1/11/2018
Pepperdine Waves,BYU Cougars,1/11/2018
New Mexico State Aggies,Grand Canyon Antelopes,1/11/2018
Weber State Wildcats,Northern Colorado Bears,1/11/2018
UMKC Kangaroos,Utah Valley Wolverines,1/11/2018
San Diego Toreros,Pacific Tigers,1/11/2018
Chicago State Cougars,Seattle Redhawks,1/11/2018
Texas-Rio Grande Valley Vaqueros,Bakersfield Roadrunners,1/11/2018
UC Davis Aggies,UC Riverside Highlanders,1/11/2018
Montana Grizzlies,Sacramento State Hornets,1/11/2018
Cal State Fullerton Titans,UC Irvine Anteaters,1/11/2018
San Francisco Dons,Loyola Marymount Lions,1/11/2018
Saint Mary's Gaels,Santa Clara Broncos,1/11/2018
California Golden Bears,Washington Huskies,1/11/2018
Montana State Bobcats,Portland State Vikings,1/11/2018
Brown Bears,Yale Bulldogs,1/12/2018
High Point Panthers,Campbell Fighting Camels,1/12/2018
Saint Peter's Peacocks,Canisius Golden Griffins,1/12/2018
VCU Rams,Dayton Flyers,1/12/2018
Youngstown State Penguins,Detroit Titans,1/12/2018
Ohio Bobcats,Kent State Golden Flashes,1/12/2018
Longwood Lancers,Liberty Flames,1/12/2018
Monmouth Hawks,Niagara Purple Eagles,1/12/2018
Cleveland State Vikings,Oakland Golden Grizzlies,1/12/2018
UNC Asheville Bulldogs,Presbyterian Blue Hose,1/12/2018
Quinnipiac Bobcats,Rider Broncs,1/12/2018
Radford Highlanders,Gardner-Webb Runnin' Bulldogs,1/12/2018
Green Bay Phoenix,IUPUI Jaguars,1/12/2018
Delaware State Hornets,Hampton Pirates,1/12/2018
Winthrop Eagles,Charleston Southern Buccaneers,1/12/2018
Milwaukee Panthers,UIC Flames,1/12/2018
Cornell Big Red,Penn Quakers,1/12/2018
Columbia Lions,Princeton Tigers,1/12/2018
Idaho Vandals,Eastern Washington Eagles,1/12/2018
St. Bonaventure Bonnies,Rhode Island Rams,1/13/2018
Albany Great Danes,Maine Black Bears,1/13/2018
Michigan Wolverines,Michigan State Spartans,1/13/2018
Purdue Boilermakers,Minnesota Golden Gophers,1/13/2018
UMBC Retrievers,Massachusetts-Lowell River Hawks,1/13/2018
La Salle Explorers,Duquesne Dukes,1/13/2018
Chattanooga Mocs,Citadel Bulldogs,1/13/2018
South Carolina Gamecocks,Georgia Bulldogs,1/13/2018
Florida Gators,Ole Miss Rebels,1/13/2018
TCU Horned Frogs,Oklahoma Sooners,1/13/2018
Bowling Green Falcons,Akron Zips,1/13/2018
Oregon Ducks,Arizona Wildcats,1/13/2018
Miami (OH) RedHawks,Buffalo Bulls,1/13/2018
Syracuse Orange,Florida State Seminoles,1/13/2018
Binghamton Bearcats,Hartford Hawks,1/13/2018
Mount St. Mary's Mountaineers,Saint Francis U Red Flash,1/13/2018
Stony Brook Seawolves,Vermont Catamounts,1/13/2018
Saint Louis Billikens,George Mason Patriots,1/13/2018
Weber State Wildcats,North Dakota Fighting Hawks,1/13/2018
Oral Roberts Golden Eagles,North Dakota State Bison,1/13/2018
Denver Pioneers,South Dakota State Jackrabbits,1/13/2018
Georgia Southern Eagles,Appalachian State Mountaineers,1/13/2018
Bryant Bulldogs,Central Connecticut State Blue Devils,1/13/2018
Georgia State Panthers,Coastal Carolina Chanticleers,1/13/2018
Hofstra Pride,Drexel Dragons,1/13/2018
VMI Keydets,East Tennessee State Buccaneers,1/13/2018
Delaware Fightin' Blue Hens,James Madison Dukes,1/13/2018
Bradley Braves,Loyola Chicago Ramblers,1/13/2018
Samford Bulldogs,Mercer Bears,1/13/2018
Abilene Christian Wildcats,Northwestern State Demons,1/13/2018
Idaho State Bengals,Northern Colorado Bears,1/13/2018
UMKC Kangaroos,Seattle Redhawks,1/13/2018
Northern Arizona Lumberjacks,Southern Utah Thunderbirds,1/13/2018
Sacred Heart Pioneers,St. Francis Brooklyn Terriers,1/13/2018
USC Upstate Spartans,Stetson Hatters,1/13/2018
Towson Tigers,William & Mary Tribe,1/13/2018
Colorado State Rams,Wyoming Cowboys,1/13/2018
Montana Grizzlies,Portland State Vikings,1/13/2018
Belmont Bruins,Eastern Illinois Panthers,1/13/2018
Central Arkansas Bears,Nicholls Colonels,1/13/2018
Troy Trojans,South Alabama Jaguars,1/13/2018
Florida A&M Rattlers,Bethune-Cookman Wildcats,1/13/2018
Howard Bison,South Carolina State Bulldogs,1/13/2018
Toledo Rockets,Central Michigan Chippewas,1/13/2018
Robert Morris Colonials,Fairleigh Dickinson Knights,1/13/2018
Wagner Seahawks,LIU Brooklyn Blackbirds,1/13/2018
Eastern Michigan Eagles,Northern Illinois Huskies,1/13/2018
George Washington Colonials,Richmond Spiders,1/13/2018
Morgan State Bears,North Carolina A&T Aggies,1/13/2018
Coppin State Eagles,North Carolina Central Eagles,1/13/2018
Ball State Cardinals,Western Michigan Broncos,1/13/2018
Louisiana Tech Bulldogs,UAB Blazers,1/13/2018
Evansville Aces,Drake Bulldogs,1/13/2018
Air Force Falcons,San Jose State Spartans,1/13/2018
Eastern Kentucky Colonels,Southeast Missouri State Redhawks,1/13/2018
Austin Peay Governors,Jacksonville State Gamecocks,1/13/2018
Texas A&M-Corpus Christi Islanders,New Orleans Privateers,1/13/2018
Alcorn State Braves,Mississippi Valley State Delta Devils,1/13/2018
Alabama A&M Bulldogs,Alabama State Hornets,1/13/2018
Lipscomb Bisons,Jacksonville Dolphins,1/13/2018
Southern Miss Golden Eagles,Middle Tennessee Blue Raiders,1/13/2018
McNeese State Cowboys,Southeastern Louisiana Lions,1/13/2018
Illinois State Redbirds,Southern Illinois Salukis,1/13/2018
Texas State Bobcats,Little Rock Trojans,1/13/2018
Maryland Eastern Shore Hawks,Savannah State Tigers,1/13/2018
Prairie View A&M Panthers,Grambling State Tigers,1/13/2018
Texas Southern Tigers,Jackson State Tigers,1/13/2018
Charleston Cougars,Elon Phoenix,1/13/2018
New Mexico Lobos,Fresno State Bulldogs,1/13/2018
Siena Saints,Manhattan Jaspers,1/13/2018
Fairfield Stags,Marist Red Foxes,1/13/2018
Northeastern Huskies,UNCW Seahawks,1/13/2018
Kennesaw State Owls,North Florida Ospreys,1/13/2018
Columbia Lions,Penn Quakers,1/13/2018
Cornell Big Red,Princeton Tigers,1/13/2018
Incarnate Word Cardinals,Stephen F. Austin Lumberjacks,1/13/2018
Morehead State Eagles,UT Martin Skyhawks,1/13/2018
Furman Paladins,Wofford Terriers,1/13/2018
Omaha Mavericks,Fort Wayne Mastodons,1/13/2018
NJIT Highlanders,FGCU Eagles,1/13/2018
Houston Baptist Huskies,Sam Houston State Bearkats,1/13/2018
UNCG Spartans,Western Carolina Catamounts,1/13/2018
UT Arlington Mavericks,Arkansas State Red Wolves,1/13/2018
Southern University Jaguars,UAPB Golden Lions,1/13/2018
Utah State Aggies,Nevada Wolf Pack,1/13/2018
Valparaiso Crusaders,UNI Panthers,1/13/2018
Saint Mary's Gaels,Pepperdine Waves,1/13/2018
Louisiana-Monroe Warhawks,Louisiana Ragin' Cajuns,1/13/2018
Oak Hill Christian Wolfpack,Western Illinois Leathernecks,1/13/2018
Tennessee State Tigers,SIUE Cougars,1/13/2018
Murray State Racers,Tennessee Tech Golden Eagles,1/13/2018
UC Davis Aggies,Cal State Fullerton Titans,1/13/2018
Texas-Rio Grande Valley Vaqueros,Grand Canyon Antelopes,1/13/2018
Long Beach State 49ers,UC Riverside Highlanders,1/13/2018
Chicago State Cougars,Utah Valley Wolverines,1/13/2018
San Diego State Aztecs,Boise State Broncos,1/13/2018
UC Irvine Anteaters,CSUN Matadors,1/13/2018
Pacific Tigers,Portland Pilots,1/13/2018
Loyola Marymount Lions,San Diego Toreros,1/13/2018
BYU Cougars,Santa Clara Broncos,1/13/2018
New Mexico State Aggies,Bakersfield Roadrunners,1/13/2018
Montana State Bobcats,Sacramento State Hornets,1/13/2018
UC Santa Barbara Gauchos,Hawaii Rainbow Warriors,1/14/2018
Rider Broncs,Iona Gaels,1/14/2018
Boston University Terriers,Holy Cross Crusaders,1/14/2018
Monmouth Hawks,Canisius Golden Griffins,1/14/2018
American University Eagles,Lehigh Mountain Hawks,1/14/2018
Lafayette Leopards,Loyola Maryland Greyhounds,1/14/2018
Saint Peter's Peacocks,Niagara Purple Eagles,1/14/2018
Army West Point Black Knights,Navy Midshipmen,1/14/2018
Davidson Wildcats,Fordham Rams,1/14/2018
Indiana State Sycamores,Missouri State Bears,1/14/2018
Saint Joseph's Hawks,Massachusetts Minutemen,1/14/2018
New Hampshire Wildcats,Massachusetts-Lowell River Hawks,1/15/2018
Bethune-Cookman Wildcats,Stetson Hatters,1/15/2018
Youngstown State Penguins,Wright State Raiders,1/15/2018
Morgan State Bears,North Carolina Central Eagles,1/15/2018
Alcorn State Braves,UAPB Golden Lions,1/15/2018
Hartford Hawks,UMBC Retrievers,1/15/2018
Bucknell Bison,Colgate Raiders,1/15/2018
Chattanooga Mocs,Mercer Bears,1/15/2018
Charleston Southern Buccaneers,UNC Asheville Bulldogs,1/15/2018
Liberty Flames,Radford Highlanders,1/15/2018
Maine Black Bears,Vermont Catamounts,1/15/2018
VMI Keydets,Western Carolina Catamounts,1/15/2018
Gardner-Webb Runnin' Bulldogs,Winthrop Eagles,1/15/2018
Elizabeth City State Vikings,Norfolk State Spartans,1/15/2018
Presbyterian Blue Hose,High Point Panthers,1/15/2018
Campbell Fighting Camels,Longwood Lancers,1/15/2018
Albany Great Danes,Binghamton Bearcats,1/15/2018
Cleveland State Vikings,Northern Kentucky Norse,1/15/2018
Maryland Eastern Shore Hawks,South Carolina State Bulldogs,1/15/2018
Delaware State Hornets,Florida A&M Rattlers,1/15/2018
Oakland Golden Grizzlies,UIC Flames,1/15/2018
Milwaukee Panthers,Green Bay Phoenix,1/15/2018
Coppin State Eagles,North Carolina A&T Aggies,1/15/2018
Howard Bison,Savannah State Tigers,1/15/2018
Texas Southern Tigers,Grambling State Tigers,1/15/2018
Prairie View A&M Panthers,Jackson State Tigers,1/15/2018
Southern University Jaguars,Mississippi Valley State Delta Devils,1/15/2018
Central Michigan Chippewas,Ball State Cardinals,1/16/2018
Northern Illinois Huskies,Buffalo Bulls,1/16/2018
Akron Zips,Eastern Michigan Eagles,1/16/2018
Western Michigan Broncos,Kent State Golden Flashes,1/16/2018
Bowling Green Falcons,Miami (OH) RedHawks,1/16/2018
Clemson Tigers,North Carolina Tar Heels,1/16/2018
Louisville Cardinals,Notre Dame Fighting Irish,1/16/2018
Toledo Rockets,Ohio Bobcats,1/16/2018
Detroit Titans,IUPUI Jaguars,1/16/2018
Texas A&M-Corpus Christi Islanders,Nicholls Colonels,1/16/2018
Drake Bulldogs,UNI Panthers,1/16/2018
North Dakota Fighting Hawks,North Dakota State Bison,1/16/2018
Pittsburgh Panthers,Syracuse Orange,1/16/2018
Dayton Flyers,Saint Joseph's Hawks,1/17/2018
American University Eagles,Boston University Terriers,1/17/2018
George Mason Patriots,George Washington Colonials,1/17/2018
Bradley Braves,Illinois State Redbirds,1/17/2018
Navy Midshipmen,Lafayette Leopards,1/17/2018
Fordham Rams,La Salle Explorers,1/17/2018
Colgate Raiders,Lehigh Mountain Hawks,1/17/2018
Bucknell Bison,Loyola Maryland Greyhounds,1/17/2018
Massachusetts Minutemen,Rhode Island Rams,1/17/2018
Richmond Spiders,VCU Rams,1/17/2018
Army West Point Black Knights,Holy Cross Crusaders,1/17/2018
Northwestern State Demons,Sam Houston State Bearkats,1/17/2018
Stephen F. Austin Lumberjacks,Abilene Christian Wildcats,1/17/2018
Indiana State Sycamores,Evansville Aces,1/17/2018
Southern Illinois Salukis,Loyola Chicago Ramblers,1/17/2018
